sent.id,text,L.conjunct,R.conjunct,governor.position,correct,comment
dev-s1630,"- Te ściany należy umyć porządnie szarym mydłem i pobiałkować - powiedział likwidator oddziału PZU w Kolbuszowej Janowi Augustynowi z Widełki, któremu prawie dwa tygodnie temu spłonął dom.",umyć porządnie szarym mydłem,pobiałkować,L,1,
train-s10804,"O tak, już dość długo... ale sprzęt jest nowy, dobry - wyjaśnia, zachwala.",nowy,dobry,L,1,
train-6294,"Nie przeprowadził etnicznych czystek, nawet w policji i prasie.",policji,prasie,L,1,
train-s16935,"Ponadto Izba Odwoławcza wskazała, że taki wniosek nie może zostać złożony po raz pierwszy na etapie odwołania od decyzji Wydziału Unieważnień (pkt 17–21 zaskarżonej decyzji).",17,-21,L,0,
train-s7350,"Chyba już trochę ją mamy, dlatego potrzebne jest szerokie obywatelskie, centrolewicowe porozumienie na rzecz demokracji i rozwoju.",demokracji,rozwoju,L,1,
train-s16975,"Komisja zapewni niezbędne wyjaśnienia proceduralne - podkreślam słowo ""niezbędne” - i jestem niezwykle wdzięczny za to, że państwo zwracają naszą uwagę na te problemy i kwestie, oraz za państwa bardzo osobiste i istotne uwagi, co pomaga nam rozwiązywać te problemy.",problemy,kwestie,L,1,
dev-s1691,"Apelował do dziennikarzy o odpowiedzialność za słowo i żeby pamiętać, iż nasze słowa mogą mieć wpływ na naszych chłopców i na zwartość koalicji.",na naszych chłopców,na zwartość koalicji,L,1,
train-s6730,"Termin dla naszych rozważań wygodny, bo pozwalający lepiej zrozumieć fenomen Don Juana jako fenomen kultury, a nie tylko psychologii czy ideologii.",kultury,nie tylko psychologii czy ideologii,L,1,
train-9691,Slezinger korzysta w swej pracy z wielu formuł matematycznych i cybernetycznych.,matematycznych,cybernetycznych,L,1,
test-s1851,Po dwóch sesjach plenarnych odbędą się warsztaty poświęcone przyszłemu programowi UE w zakresie przekrojowej polityki integracji oraz Europejskiemu Funduszowi Integracji.,programowi UE w zakresie przekrojowej polityki integracji,Europejskiemu Funduszowi Integracji,L,0,
test-s2209,"- rodzaje działań (takie jak badania i rozwój technologiczny, demonstracje, zarządzanie szkolenia, upowszechnianie, transfer wiedzy i inne działania pokrewne), które mogą być finansowane w ramach każdego z tych systemów.",badania,inne działania pokrewne,L,1,
dev-s1634,"Obaj słynęli z tego, że nigdy nie wpadli, choć depcze im po piętach policja wielu krajów z Interpolem włącznie i agenci paru biur prywatnych detektywów.",policja wielu krajów z Interpolem włącznie,agenci paru biur prywatnych detektywów,L,1,
n01076006,Zwycięstwo Donalda Trumpa natychmiast uczyniłoby świat jeszcze bardziej niepokojącym i niepewnym.,niepokojącym,niepewnym,L,1,
train-s7209,"Podobnie jest z upokorzeniem - są ludzie, którzy latami zadręczają się poczuciem upokorzenia, winy czy niskiej wartości, choć sytuacja, w jakiej się znajdują, zupełnie tego nie uzasadnia.",upokorzenia,niskiej wartości,L,1,
train-s4347,"Nie byłoby w tym nic nadzwyczajnego, gdyby nie fakt, że w Polsce zrobiła Glavani niesłychaną karierę, kończąc jako arystokratka i pani na legendarnej Sofiówce.",arystokratka,pani na legendarnej Sofiówce,L,1,
train-s7821,"Przyznam się szczerze , że mnie ten maglowy temat ani ziębi, ani grzeje, choć do zwolenników Kwaśniewskiego niewątpliwie się nie zaliczam, a może to kontratak millerowców przeprowadzony przez Urbana - z pewnością stać go na to.",ziębi,grzeje,L,1,
train-s14911,"Komitet wybiera przewodniczącego i dwóch wiceprzewodniczących, każdego większością dwóch trzecich obecnych członków.",przewodniczącego,dwóch wiceprzewodniczących,L,1,
train-s17358,"- promowanie rozpoznawania, demonstracji i rozpowszechniania innowacyjnych technologii i praktyk przez działania uzupełniające działania z programu konkurencyjności i innowacji;",technologii,praktyk,L,1,
train-s14527,"Nowa struktura ma dociążyć te oddziały ZUS, które miały najmniej klientów i odciążyć te, które miały ich najwięcej.le.","dociążyć te oddziały ZUS, które miały najmniej klientów","odciążyć te, które miały ich najwięcej",L,1,
train-s15475,"Jeśli jest niemożliwe określenie Noael, określa się najniższą dawkę/stężenie wywołującą szkodliwy skutek, tzn. określa się najniższy poziom obserwowanego działania szkodliwego (Loael).",dawkę,/ stężenie,L,0,
test-s1406,"Tak było w czasach odrodzenia, kiedy to Savonarola, ponury mnich, mający ""nominację do świętości"", kazał mieszkańcom Florencji rzucać na stos rześby i malowidła, uznane przez niego za sprośne, a przedstawiające nieraz znaczną wartość artystyczną.",rześby,malowidła,L,1,
train-s13418,"Czy jest badany również wątek taki, że pan Rywin mógł wziąć pieniądze od pana Michnika i nie wywiązać się z zadań i dlatego pan Michnik awanturuje się o to, że nie może nabyć w odpowiednim czasie telewizji Polsat.",wziąć pieniądze od pana Michnika,nie wywiązać się z zadań,L,1,
train-s6496,"Niby rozgrzeszyłam samą siebie z tego incydentu, niby go sobie wybaczyłam i zaakceptowałam, ale nie starczyło mi odwagi, żeby się do tego przyznać.",wybaczyłam,zaakceptowałam,L,1,
n01117007,"Przez dziesięciolecia pracował w radiu i telewizji, zajmując się wiadomościami i aktualnościami.",radiu,telewizji,L,1,
train-s16527,"Jako młody piłkarz i młody talent, proszę pań i panów, Sterckele wykorzystał wszystkie swoje możliwości w różnych belgijskich klubach i na koniec stał się jednym z czołowych strzelców w lidze belgijskiej.",pań,panów,L,1,
train-s10852,"Sprzeciw PO oznacza, że Jarosław Kaczyński musi wybierać: albo PiS-owski rząd poda się do dymisji i wobec niemożności wyłonienia nowego dojdzie do nowych wyborów, albo PiS będzie zmuszony do zawarcia prawdziwej rządowej koalicji.",poda się do dymisji,wobec niemożności wyłonienia nowego dojdzie do nowych wyborów,L,0,
train-s13872,"Tak dywagujemy sobie o tym że Polska to Polska tamto, ale wobec braku zagrożenia ze strony Zakonu na północ od Mazowsza i Kujaw, nie wiem czy byłby wygenerowany impuls zjednoczeniowy, a jeśli tak to pewnie nie wokół Piastów kujawskich...",Mazowsza,Kujaw,L,1,
train-s12593,"Kiedy oglądamy filmy europejskich reżyserów, którzy osiedli w Stanach Zjednoczonych, widzimy wyraźnie, że oni zupełnie zatracili własny ""charakter pisma"" - produkują jak reszta wytwórców z Hollywood.","zatracili własny ""charakter pisma""",produkują jak reszta wytwórców z Hollywood,L,0,
train-5792,"Nasze piłkarki w grupie zmierzą się z Niemcami, Szwecją i Szwajcarią.",Niemcami,Szwajcarią,L,1,
train-11693,"W tej sytuacji wiele przedziałów w pociągach nad morze, w góry i na Mazury zajmują koloniści.",nad morze,na Mazury,L,1,
train-s11690,"Ano, jak tajemnica, jak sekret, jak tajny alembik, ukryty głęboko w skorupie słów, bo to on przecież, jeśli umieć go odkryć i użyć, dokonuje owej przemiany rzeczowego opisu w magiczne zaklęcie, w modlitwę.",w magiczne zaklęcie,w modlitwę,L,1,
test-s926,"To, że muzyka nie potrafi sprecyzować i skonkretyzować konotacji, jakie wzbudza [...] umożliwia [...] wyrażenie tego, co można by było nazwać bezcielesną istotą mitu, esencją przeżyć centralnych i niezbędnych dla egzystencji ludzkiej.",istotą mitu,esencją przeżyć centralnych i niezbędnych dla egzystencji ludzkiej,L,0,
train-s13539,"Wyrywałem się jej, ale gdy głowa i ręce zaplątały mi się w tarninę, dałem spokój, wyjmowała mnie z tarniny palec po palcu, ręka po ręce, niemal włos po włosie.",palec po palcu,niemal włos po włosie,L,1,
train-s9195,"Wody silnie zasadowe występują w strefach wulkanicznych lub też o bardzo zaawansowanej eutrofii, natomiast wody kwaśne w jeziorach dystroficznych (np. w Finlandii) lub też leżących wśród torfowisk i bagien (np. Tasek Bera).",wulkanicznych,też o bardzo zaawansowanej eutrofii,L,1,
train-7390,"Oprócz Warszawy, gość odwiedzi także Kraków oraz Gdańsk.",Kraków,Gdańsk,L,1,
train-s13092,"No bo jak to: haruje jak koń, pod koniec orkiestrowego finału chrypi z przemęczenia, obraca milionami - i nic z tego nie ma?",haruje jak koń,nic z tego nie ma,L,1,
train-s17318,19 05 01 nieprzekompostowane frakcje odpadów komunalnych i podobnych,komunalnych,podobnych,L,1,
train-s5465,"""Sybir"" ział pustką - Wieliński i Bandera patrzyli przez okno na ulicę i wzrokiem odprowadzali przechodniów lub gapili się na gzymsy przyprószone śniegiem i ołowiany skrawek nieba, zabudowany kominami przyległych kamienic i zasiekami anten radiowych, sterczących wichrowato jak drewniane krzyże na starym cmentarzu .",patrzyli przez okno na ulicę,"wzrokiem odprowadzali przechodniów lub gapili się na gzymsy przyprószone śniegiem i ołowiany skrawek nieba, zabudowany kominami przyległych kamienic i zasiekami anten radiowych, sterczących wichrowato jak drewniane krzyże na starym cmentarzu",L,0,
w01010047,Ich pierwszym królem był Mojmir I (rządził w latach 830–846).,830,-846,L,0,
train-s3891,Przede wszystkim wywozili ruchomy majątek i żywność.,majątek,żywność,L,1,
train-2146,Dlatego uniknęliśmy krwawej dyzenterii lub tyfusu.,dyzenterii,tyfusu,L,1,
train-s14273,"A to już naprawdę zawrotne tempo, bo przecież muszę ten film zmontować, dodać jakąś czołówkę, jakieś efekty dźwiękowe, nawet jeśli są to tylko odgłosy uderzeń czy upadków.",jakąś czołówkę,jakieś efekty dźwiękowe,L,0,
test-1362,"Tomasza korciło, żeby wyrządzać jej przykrości i wystawiać ją na próby.",wyrządzać jej przykrości,wystawiać ją na próby,L,1,
train-s11146,"- Dziecko z ciężkimi obrażeniami klatki piersiowej i jamy brzusznej było w krytycznym stanie - mówi Rafał Woźniakowski, lekarz z rybnickiego szpitala.",klatki piersiowej,jamy brzusznej,L,1,
test-s2085,"Chcemy współistnienia tych dwóch państw, stworzenia nowej sytuacji nie tylko dla narodów Izraela i Palestyny, ale dla całego regionu, gdyż sytuacja tam jest bardzo poważna.",Izraela,Palestyny,L,1,
train-s14116,"Band brzmiał perfekcyjnie, przynajmniej niektórym tak się wydawało, bo już porównywali siebie do Goodmana czy Millera i przy wódce bajdurzyli, żeby kupić stary autobus i zrobić tournée po Stanach.",porównywali siebie do Goodmana czy Millera,"przy wódce bajdurzyli, żeby kupić stary autobus i zrobić tournée po Stanach",L,1,
train-s8227,"Włączenie tego rodzaju działalności do PKD wynika z potrzeb rachunków narodowych, traktujących tego rodzaju działalność jako produkcję, a także na potrzeby pewnych badań ankietowych.","z potrzeb rachunków narodowych, traktujących tego rodzaju działalność jako produkcję",także na potrzeby pewnych badań ankietowych,L,0,zdanie chyba złe
train-3896,"Już bez strachu, z niedowierzaniem i błyskiem w oczach przekładała paczki z ręki do ręki.",niedowierzaniem,błyskiem w oczach,L,1,
w01096074,Wojna na lądzie zmieniła się od statycznych linii frontu I wojny światowej w kierunku zwiększonej mobilności i łączenia różnych sił.,mobilności,łączenia różnych sił,L,1,
dev-s427,"Jako osoba wrażliwa, wyczuła prawdopodobnie we mnie napięcie i tym dotykiem chciała mnie uspokoić, ale wywołała bolesny dreszcz.",chciała mnie uspokoić,wywołała bolesny dreszcz,L,1,
train-s10419,"- Tak mogło być, bo dwukrotnie badano ją alkomatem i za każdym razem ilość alkoholu w wydychanym powietrzu była odrobinę niższa, ponieważ trzeźwiała - tłumaczy prokurator.",badano ją alkomatem,"za każdym razem ilość alkoholu w wydychanym powietrzu była odrobinę niższa, ponieważ trzeźwiała",L,0,
train-2821,"Gram i walczę dla niej, nie dla siebie.",dla niej,nie dla siebie,L,1,
test-s1503,"Po pierwsze, chodzi tu o antypolityczność, i po drugie, o przekonanie o racjonalnym charakterze życia społecznego, a więc i jego aktorów, czyli zarówno jednostek, jak i najrozmaitszych grup społecznych.",życia społecznego,"więc i jego aktorów, czyli zarówno jednostek, jak i najrozmaitszych grup społecznych",L,1,
test-s1501,"Jako kryterium utworzenia nowych powiatów przyjęto: zdecydowaną przewagę pozytywnych opinii nad negatywnymi na szczeblu lokalnym i regionalnym w sprawie utworzenia nowego powiatu; fakt, że miasta te były stolicami powiatów przed 1975 r. oraz silne więzi społeczne, kulturowe i geograficzne.",zdecydowaną przewagę pozytywnych opinii nad negatywnymi na szczeblu lokalnym i regionalnym w sprawie utworzenia nowego powiatu,"silne więzi społeczne, kulturowe i geograficzne",L,1,
train-s6411,"Następnie należy usunąć z przewodu pokarmowego pasożyty i Helicobacter pylori, wyleczyć zepsute zęby i wszystkie inne infekcje.",pasożyty,Helicobacter pylori,L,1,
train-9814,"Sprzedawał wapno, węgiel, cement.",wapno,cement,L,1,
train-s9291,"50 proc. środków pochodziło z Zarządu Związku OSP RP (125 tys. zł) i Krajowego Systemu Ratowniczo-Gaśniczego (75,2 tys. zł), 217,2 tys. zł dofinansował Urząd Gminy Tczew.",Ratowniczo,Gaśniczego,L,1,
train-s11730,"Wtedy pomyślałem: zawsze sobie coś znajdzie, żeby się szamotać, nic go nie zmieni, nawet nie ma co próbować.","coś znajdzie, żeby się szamotać",nawet nie ma co próbować,L,1,
train-s12728,"Jeśli pracoholik ponosi porażkę, to poganiany lękiem ustawia poprzeczkę jeszcze wyżej, wykazując irracjonalny upór i determinację, żeby zadanie wykonać - także wtedy, gdy jest niewykonalne.",upór,determinację,L,1,
train-s12599,"Nic nie drgnęło w twarzy młodego przystojnego barana, nie takich tu widział, co go obchodzi, że ten nie całkiem tu pasujący facet ma oczy błędne, jakby nie wypił jednego koniaku, brandy, szanowny panie, brandy, ohydna wóda, mówią koniak, ha, tylko conajmniej trzy duże.",", ohydna wóda","mówią koniak, ha,",L,0,nie wiem czy rozumiem zdanie
train-s14977,"Zdezynfekować skórę używając gazika zwilżonego alkoholem (spirytusem), odczekać do wyschnięcia, chwycić fałd skóry kciukiem i palcem wskazującym, ale nie ściskać.",chwycić fałd skóry kciukiem i palcem wskazującym,nie ściskać,L,1,
train-s10650,Pod jego kierunkiem zostało napisanych 70 prac dyplomowych i magisterskich.,dyplomowych,magisterskich,L,1,
train-s17094,"Imigracja – selektywna czy nie – wypacza tożsamość i kulturę narodów Europy, pogłębia podziały społeczne i napięcia, które z nich wynikają, na podobieństwo tego, co dzieje się we wszystkich społeczeństwach wieloetnicznych i wielokulturowych na świecie.",wieloetnicznych,wielokulturowych,L,1,
test-730,"Nagrody w postaci płyt, kaset i gier sponsorował Empik Racibórz.",płyt,gier,L,1,
dev-s1032,"Krew, pot i łzy, przekleństwa rzucane pod adresem włodarzy miasta, śpiewy patriotyczne, kibolska zadyma, nadmierne prezentowanie siły przez ochroniarzy, którzy nie umieli się zachować, nieszczęsna reakcja Policji, brak koordynacji w kierowaniu akcją i w tym wszystkim osoba komornika - wszystko to tworzyło całość jakiegoś nieudanego i źle przygotowanego przedstawienia.",nieudanego,źle przygotowanego,R,1,
n01063048,"Ale wyzwania i towarzyszące im utwory dodają wyraźny system nerwowy, łączący żywą masę ziarnistych klipów wideo.",wyzwania,towarzyszące im utwory,R,1,
train-s13248,"Mówimy, co się wtedy dzieje z pieniędzmi, jak likwidator lub syndyk powiadamia pracownika, kiedy pracownik może zadecydować, gdzie te pieniądze będą przekazywane, czy przenosi to na indywidualne konto emerytalne.",likwidator,syndyk,R,1,
train-s27,"Kobieta i mężczyzna stoją z dziećmi na rękach, a obok stoi ksiądz z otwartą książką, patrząc na dziecko trzymane przez kobietę.",Kobieta,mężczyzna,R,1,
train-9713,"Spała, Wałcz czy Cetniewo są od dawna ośrodkami na najwyższym europejskim poziomie.",Spała,Cetniewo,R,1,
train-s13203,"A to znaczy, że tak czy inaczej na morze można patrzeć tylko z ziemi.",tak,inaczej,R,1,
n01017008,„Ale być może BA i IAG uporały się z tym i mogą zaoferować coś w miarę niezawodnego.”,BA,IAG,R,1,
train-s16905,83 Na początku postępowania w sprawie oceny skarżąca oraz spółka Syngenta zostały przez państwo członkowskie sprawozdawcę uznane za „główne podmioty dostarczające dane”.,skarżąca,spółka Syngenta,R,1,
train-s9402,- To weź ich sobie do domu i mieszkaj z nimi - zacietrzewia się jej kolega.,weź ich sobie do domu,mieszkaj z nimi,R,1,
train-s16201,"Wie pan, że osoby starsze, emeryci, mają dużo wolnego czasu i wielu z nich poświęca ten czas na korzyść swoich sąsiadów, innych obywateli, zarówno w Europie, jak i na całym świecie.",osoby starsze,emeryci,R,1,
train-s16801,"W leczeniu hiperkalcemii spowodowanej chorobą nowotworową preparat Bondronat jest podawany we wlewie dożylnym w dawce wynoszącej 2 lub 4 mg, w zależności od stopnia nasilenia hiperkalcemii (umiarkowana - poniżej 3 mmol/l lub ciężka - powyżej 3 mmol/l).",2,4,R,1,
test-s24,"Dwóch dobrze zbudowanych i skąpo odzianych mężczyzn, z gładko zaczesanymi włosami, walczy ze sobą.",dobrze zbudowanych,skąpo odzianych,R,1,
test-517,"Kafka i Conrad zrewolucjonizowali i formę, i filozofię tradycyjnej literatury.",Kafka,Conrad,R,1,
dev-s1291,"- W czasach, gdy Andrzej Lepper i Leszek Miller wyrastają na mężów stanu, pole do działania dla satyryków jest ogromne - mówi Piotr Lisiewicz, dziennikarz ""Gazety Polskiej"", lider Akcji Alternatywnej Naszość, która na swoim koncie ma wiele artystycznych osiągnięć i niemal tyle samo procesów sądowych, które same przerodziły się w happeningi.",Andrzej Lepper,Leszek Miller,R,1,
train-11765,W wielu wsiach i miasteczkach do dzisiaj mieszkańcy kultywują sztukę ludową.,wsiach,miasteczkach,R,1,
train-1130,"Całowała go drobnymi, szybkimi pocałunkami.",drobnymi,szybkimi,R,1,
test-s1674,"Jednak nie mając żadnego sprzętu a tylko trochę wyobraźni można po prostu wyjść nocą na balkon czy na podwórko, spojrzeć w ciszy na jasną, czerwonawą ""gwiazdę"" i uświadomić sobie, że to planeta - odległy o miliony kilometrów, zimny glob.",jasną,czerwonawą,R,1,
train-7871,Po odparciu ataku i ujęciu 10 terrorystów zawrócono konwój do bazy w Al Kut.,odparciu ataku,ujęciu 10 terrorystów,R,1,
train-2381,"Drobne, zaradne i opiekuńcze szatynki zawsze miały u niego powodzenie.",Drobne,opiekuńcze,R,1,
dev-s1401,Słuszne pytania i odpowiedzi mieszają się z podłymi.,pytania,odpowiedzi,R,1,
train-s13098,"Jednak w szarpnięciach i kąsaniu łańcucha, kiedy tylko tyle ci zostało, ta wolność stanowi wszechświat możliwości.",szarpnięciach,kąsaniu,R,0,gov po lewej wedlug mnie
test-s1807,"Nie pójdę do Szamockiego i nie powiem, co żeście kombinowali, bo kogo jak kogo, ale ciebie może spokojnie kropnąć.",kogo jak kogo,ciebie,R,1,
train-s15295,"Talibowie, sieć Al-Kaidy i Osama bin Laden stanowią największe i najpilniejsze zagrożenie dla Unii Europejskiej.",Talibowie,Osama bin Laden,R,1,
n01015036,"Natomiast w 2007 r., u szczytu jego (i, być może, samej Knightley) popularności było w najczęstszej pięćdziesiątce, z trzykrotnie większą liczbą dzieci nazwanych Keira, niż Kiera.",jego,"(i, być może, samej Knightley",R,0,
w01025083,"Schlei i mokradła między Danevirke a Husum całkowicie zamarzły zimą, a tereny bezpośrednio na południe od Danevirke zostały podbite przez postępującą armię niemiecką.",Schlei,mokradła między Danevirke a Husum,R,1,
train-s10381,"Na obrusie kuchennego stołu przewrócona pusta fiolka z napisem ""Rivotril""... obok rozrzucone dwa maleńkie, białe krążki.",maleńkie,białe,R,1,
train-s1223,"Dziewczynka w fioletowo-niebieskim kostiumie ze skrzydłami stoi, trzymając w górze rękę z różdżką, a inna osoba celuje w nią cienkim przedmiotem.",fioletowo,niebieskim,R,1,
train-11430,W innych miejscach znaleziono wyszlifowane i porysowane przedkarbońskie skały podłoża.,wyszlifowane,porysowane,R,1,
train-s11188,"Wspaniała, delikatna i harmonijna paleta barw, wielka wrażliwość i kultura malarska, imponujące psychologiczne ""odkrywanie"" swych modeli – to niezaprzeczalne zalety jej sztuki.","Wspaniała, delikatna i harmonijna paleta barw","imponujące psychologiczne ""odkrywanie"" swych modeli",R,1,
n01111021,"Następne były fundusze Aviva Investors Multi Strategy Target Return oraz Income, w które zainwestowano odpowiednio 2 mld i 1,4 mld funtów.",2 mld,"1,4 mld",R,1,
train-s10738,"Jeśli należysz do takich osób, a mimo to zamierzasz osiągać duchowe sukcesy, proponuję ci stosowanie następującej afirmacji: Moja medytacja jest niezwykle atrakcyjna, ciekawa i inspirująca.",należysz do takich osób,mimo to zamierzasz osiągać duchowe sukcesy,R,1,
train-s10742,"- Na rynku dostajemy za nasze diamenty, zależnie od jakości, o 13-35 proc. więcej niż płaci nam De Beers - twierdzi Leonid Guriewicz z Komitetu Metali i Kamieni Szlachetnych.",13,35,R,1,
