sent.id,text,L.conjunct,R.conjunct,governor.position,correct,comment
ess_1077,"Ve İspanyolların yaşlı serserisi Bunuel, bunu filme çektiğinde, adını ""Arzunun Karanlık Nesnesi"" koyar.",İspanyolların yaşlı serserisi Bunuel,"adını ""Arzunun Karanlık Nesnesi"" koyar.",L,,
20-5611.train,"Wang'ın kurulan temeli onun en büyük aktiflerinden biridir , ve bu müşterilerin çoğu sadakatini koruyorlar .","Wang'ın kurulan temeli onun en büyük aktiflerinden biridir,",bu müşterilerin çoğu sadakatini koruyorlar,0,,
ins_713,Gerçi 1890'da biri doğdu ve hâlâ yaşıyor fakat şimdi hiçbir mucidin olmadığı bir devirde yaşadığı için kimse onu tanımıyor.,biri doğdu ve hâlâ yaşıyor,şimdi hiçbir mucidin olmadığı bir devirde yaşadığı için kimse onu tanımıyor.,0,,
pop_1959,"Bunun üzerine hükümet, bir yanlış anlaşılma olduğunu söyleyerek özür dilemiş; ancak ilişkiler bir süre eski sıcaklığından uzak kalmıştır.","hükümet, bir yanlış anlaşılma olduğunu söyleyerek özür dilemiş;",ilişkiler bir süre eski sıcaklığından uzak kalmıştır.,0,,
20-3556.train,"Şirket , Bay Lesk'un kaybını küçümsedi ve ticari sorumluluklarını dört kişilik bir komite arasında paylaştı .",Bay Lesk'un kaybını küçümsedi,ticari sorumluluklarını dört kişilik bir komite arasında paylaştı,0,,
00229177_1,"Niye mutsuz olduklarını ise söylemezlerdi, mutsuzluklarının nedenini siz keşfetmek zorundaydınız, bunu keşfedemezseniz biraz daha düşmanlaşırlardı; bu düşmanlık gerçek değildi, yalnızca mutsuzluklarının üstüne örtmeye çalıştıkları yakıcı bir örtüydü.",Niye mutsuz olduklarını ise söylemezlerdi,"bu düşmanlık gerçek değildi, yalnızca mutsuzluklarının üstüne örtmeye çalıştıkları yak ıcı bir örtü ydü.",0,,
pop_1593,"Trakya ve Karadeniz çizildikten sonra Akdeniz'e geçilir, sonra Kars, Doğubeyazıt derken Hakkâri ile final yapılırdı.",Trakya ve Karadeniz çizildikten sonra Akdeniz'e geçilir,"sonra Kars, Doğubeyazıt derken Hakkâri ile final yapılır dı.",0,,
20-3279.train,"Doğal olarak , müdürler birliği görev süresi oluşturmayı sever ve görev süresi daha önceki zorluklara dayanır .",müdürler birliği görev süresi oluşturmayı sever,görev süresi daha önceki zorluklara dayanır,0,,
w01072002,"Hispania sözcüğünün kökeni çok tartışmalıdır ve çeşitli spekülasyonlara ilişkin kanıtlar, en iyi ihtimalle sadece benzerlik olan tesadüfi durumlara dayanmaktadır ve destekleyici kanıtlar şüphelidir.",Hispania sözcüğünün kökeni çok tartışmalı dır,destekleyici kanıtlar şüpheli dir.,0,,
ess_49,"Demokrasiye siyasi iktidardan gelen tehdide direnip, sonra askeri rejimin hukuki fetvasını verebiliyorlar, ilk ve orta eğitimin yetersiz bilgileri ile üniversiteye gelen bir Türk genci, eğer özel gayreti yoksa, daha kalabalık ve daha yoğun müfredatlı bir lisede okumuştan farklı olmaz üniversiteden mezun olurken.","Demokrasiye siyasi iktidardan gelen tehdide direnip, sonra askeri rejimin hukuki fetvasını verebiliyorlar","ilk ve orta eğitimin yetersiz bilgileri ile üniversiteye gelen bir Türk genci, eğer özel gayreti yok sa, daha kalabalık ve daha yoğun müfredatlı bir lisede okumuştan farklı olmaz üniversiteden mezun olurken.",0,,
w04006065,1. Henry'nin yönetiminde sadece bir avuç insan (kontluklar) bulunmuş ve bunlar büyük oranda sembolik kalmıştır.,1. Henry'nin yönetiminde sadece bir avuç insan (kontluklar) bulunmuş,bunlar büyük oranda sembolik kalmıştır.,0,,
w01002008,"Mineraller bakımından son derece zengin olup büyük miktarda altın ve pırlanta ile manganez, kurşun, çinko, nikel, kobalt ve molibden cevherlerini içerir.",büyük miktarda altın ve pırlanta,"manganez, kurşun, çinko, nikel, kobalt ve molibden cevherlerini",R,,
20-5202.train,Anahtarın Arizona gayrimenkullerinin geriye dönmesi veya en azından stabilize olması olduğunu söyledi .,Arizona gayrimenkullerinin geriye dönmesi,en azından stabilize olması,R,,
bio_873,"Her tabur bu birlikleri sırayla kurarak deprem bölgesine dönüşümlü olarak gönderiyordu, iki ay sonra bizim tabura sıra geldi ve teşkil edilen birliğin komutanlığına getirildim.",bu birlikleri sırayla kurarak deprem bölgesine dönüşümlü olarak gönderiyor du,teşkil edilen birliğin komutanlığına getirildim.,0,,
1522.test,"Deminki ihtiyar nine , bu sağlam yapılı Türk evlerini , yerlilerin nasıl yaktıklarını , kendilerini şehirden nasıl kovduklarını bize anlattı .","bu sağlam yapılı Türk evlerini, yerlilerin nasıl yaktıklarını",kendilerini şehirden nasıl kovduklarını,R,,
20-0647.train,"Büyük nakit pozisyonları , piyasaların düşüşlerinden kaynak ayırmasına yardımcı olur , ancak yükselen piyasalardaki kazançları azaltabilir .","piyasaların düşüşlerinden kaynak ayırmasına yardımcı olur,",yükselen piyasalardaki kazançları azaltabilir,0,,
ess_584,"Ben bu kadar şey söyledim internet faydaları hakkında, tabi faydası olduğu kadar zararları da var.",Ben bu kadar şey söyledim internet faydaları hakkında,tabi faydası olduğu kadar zararları da var,0,,
pop_1571,"Sağ kol, aşağıya doğru indirilirken gövde, belden sağ yana-aşağıya doğru bükülür, aynı anda sol kol gövde ile teması kesilmeden ve dirsekten bükülmeden koltuk altına kadar çekilir ve ardından başlangıç pozisyonuna dönülür.","gövde, belden sağ yana - aşağıya doğru bükülür",ardından başlangıç pozisyonuna dönülür.,0,,
ess_1899,"Birçoklarına ve Türkiye'deki Sirius Ufo Uzay Bilimleri Araştırma Merkezi'ne göre, büyük ihtimalle Luca bir uzaylı! Seni ilk gördüğümde Büyük Karşılaşma'dan habersizdim.","Birçoklarına ve Türkiye'de ki Sirius Ufo Uzay Bilimleri Araştırma Merkezi'ne göre, büyük ihtimalle Luca bir uzaylı lı!","Merkezi'ne göre, büyük ihtimalle Luca bir uzaylı lı! Seni ilk gördüğümde Büyük Karşılaşma'dan habersizdim",0,,
ins_1925,"Hellen Keller'in geçirdiği hastalık onu konuşma, görme ve işitme engelli yapmıştı ama hiç kimse onun zihinsel yeteneklerinin farkında değildi henüz.","Hellen Keller'in geçirdiği hastalık onu konuşma, görme ve işitme engelli yapmış tı",hiç kimse onun zihinsel yeteneklerinin farkında değildi henüz.,0,,
ess_276,"Avukatlar mırın kırın etti, ""Ne olur, ne olmaz"" dediler , ben de teslim oldum.","Avukatlar mırın kırın etti,",ben de teslim oldum,0,,
00047124_37,"Bir kadınla bir erkeğin oynayabileceği bütün oyunları oynamış, kadınlığı da erkekliği de sonuna kadar yaşamıştık.",Bir kadınla bir erkeğin oynayabileceği bütün oyunları oynamış,kadınlığı da erkekliği de sonuna kadar yaşamıştık.,0,,
n02030005,"Bu siyasi bir süreç ve ben bulunmamaya kararı verdim, demişti.",Bu siyasi bir süreç,"ben bulunmamaya kararı verdim,",R,,
bio_1741,"Aldığımız iş teknik derslerinde arkadaşlarım kimisi kazak, kimisi tulum, kimisi oyuncak yapıyor ve bütün bunlar daha doğmadan oda da yerini alıyordu.","kazak, kimisi tulum, kimisi oyuncak yapıyor",ve bütün bunlar daha doğmadan oda da yerini alıyor du.,0,,
bio_1857,"Dünyanın önemli bir bölümü Amerikanlaşmaktadır, ulusal kültürler, gelenekler soysuzlaşmaktadır.",Dünyanın önemli bir bölümü Amerikanlaşmakta dır,"ulusal kültürler, gelenekler soysuzlaşmakta dır.",0,,
pop_721,"- Düzenli cilt, saç ve tırnak bakımı yaptırıyor, yeni saç modelleri deniyor ve jöle sürüyorlar.","cilt, saç ve tırnak bakımı yaptırıyor",yeni saç modelleri deniyor ve jöle sürüyorlar.,0,,
7739.train,Âşık olunca aklının ayarını bozanları çok gördüm ama Ethel benliğini yitirmişti düpedüz .,Âşık olunca aklının ayarını bozanları çok gördüm,Ethel benliğini yitirmişti düpedüz,0,,
15-5591.train,Çoğu tahvil fiyatları düştü ancak ıskarta tahviller ve dolar yükseldi .,Çoğu tahvil fiyatları düştü,ıskarta tahviller ve dolar yükseldi,0,,
ins_959,"Sonra ders çalışmak için masayı sildik, kitaplarımızı açıp çalışmaya başladık.",ders çalışmak için masayı sildik,kitaplarımızı açıp çalışmaya başladık.,0,,
0470.dev,New York'tan Miami'ye olan salı günü uçuşlarını ve Miami'den New York'a olan pazar günü uçuşlarını göster,New York'tan Miami'ye olan salı günü uçuşlarını,Miami'den New York'a olan pazar günü uçuşlarını,R,,
n01098044,"Her bir istasyonda, kırmızı şapkalı bir bekçi platformun üstünde gözetmenlik yapar ve bir tekerlek kontrolcüsü, tren boyunca yürür ve alt takımlara çekiçle hafifçe vururdu.","Her bir istasyonda, kırmızı şapkalı bir bekçi platformun üstünde gözetmenlik yapar","bir tekerlek kontrolcüsü, tren boyunca yürür ve alt takımlara çekiçle hafifçe vururdu.",0,,
20-1916.train,"Danışman olarak yarı zamanlı çalışıyor ve bir kitap yazıyor , ancak asla güçlü yasal kariyerine tekrar başlamadı .","çalışıyor ve bir kitap yazıyor,",asla güçlü yasal kariyerine tekrar başlamadı,0,,
w01105057,O kadar başarılıydı ki ordu savaştan sonra uzun yıllar kullanmaya devam etti ve 1980'lerde bazı ülkelerde hala kullanımdaydı.,savaştan sonra uzun yıllar kullanmaya devam etti,1980'lerde bazı ülkelerde hala kullanımda ydı.,0,,
n04001002,Tina Anselmi 25 Mart 1927'de Castelfranco Veneto'da doğdu ve militan sosyalist babasının zulmünün hüküm sürdüğü faşizm karşıtı Katolik bir ailede büyüdü.,25 Mart 1927'de Castelfranco Veneto'da doğdu,militan sosyalist babasının zulmünün hüküm sürdüğü faşizm karşıtı Katolik bir ailede büyüdü.,0,,
20-4553.train,Noel Pazartesi gününe denk gelir ve mağazalar için büyük bir son dakika hafta sonu fırsatı yaratır .,Pazartesi gününe denk gelir,mağazalar için büyük bir son dakika hafta sonu fırsatı yaratır,0,,
news_1869,"Hakan Ünsal'ın gönderilmesinin ardından Ergün'ün uzun süren sakatlığı, Altan'ın beklenen performansı gösterememesi, geçen sezon bu mevkide yıldızı parlayan Ayhan'ın sakatlanması, Hasan Şaş'ın sağ tarafa çekilmesi Belçikalı teknik adamın huzurunu kaçırdı.",Ergün'ün uzun süren sakatlığı,Hasan Şaş'ın sağ tarafa çekilmesi,R,,
1674.train,New York'tan San Jose'ye yapılan San Jose'ye akşam 7'den önce varacak en ucuz gidiş dönüş uçuşları bana göster,New York'tan San Jose'ye yapılan,San Jose'ye akşam 7'den önce varacak,R,,
4393.train,"Gerçi , bir nevi karaborsa mevcuttu ama bundan faydalanmak hem alan hem satan için hayli tehlikeliydi .","Gerçi, bir nevi karaborsa mevcuttu",bundan faydalanmak hem alan hem satan için hayli tehlikeliydi.,0,,
15-3085.train,Daiwa House da iyi bir şekilde kapandı ama Misawa Home daha da sağlam durumdaydı .,Daiwa House da iyi bir şekilde kapandı,Misawa Home daha da sağlam durumdaydı,0,,
15-2065.train,Yatırım sermayesi yavaş yavaş geriye doğru gidiyor ve petrol arazileri daha fazla hasılat getiriyor .,Yatırım sermayesi yavaş yavaş geriye doğru gidiyor,petrol arazileri daha fazla hasılat getiriyor.,0,,
ess_869,"Öyle bir hizmette bulunmalıyız ki arkamızdan mezarcılar değil, gönüllerini kazandığımız mü'min dostlar Kur'an'lar okuyup dualar etmeli; hizmetimizden dolayı bizi hatırlayanlar, hakkımızda güzel tanıklıkta bulunmalıdır.","arkamızdan mezarcılar değil, gönüllerini kazandığımız mü'min dostlar Kur'an'lar okuyup dualar etmeli","hizmetimizden dolayı bizi hatırlayanlar, hakkımızda güzel tanıklıkta bulunmalı dır.",0,,
